,Code,Title,CRN,Course Time,Professor,WRIT,DIAP,FYS,SOPH,CBLR,CSE,Department,Course Code,Previous Professor,Previous Semester,Course Rating,Previous Professor Rating,Average Hours,Maximum Hours,Number of Respondents,Class Size,Same Professor
41,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26863,F 2-2:50p,TBD,0,1,0,0,0,0,ANTH,0800,M. Brink-Danan,Spring 2007,4.04,3.76,,,56,56+,False
42,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26863,F 2-2:50p,TBD,0,1,0,0,0,0,ANTH,0800,Beeman,Spring 1998,3.56,3.36,,,69,83,False
43,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26864,F 3-3:50p,TBD,0,1,0,0,0,0,ANTH,0800,M. Berman,Spring 2020,4.4,4.74,3.89,6.0,9,51,False
44,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26864,F 3-3:50p,TBD,0,1,0,0,0,0,ANTH,0800,M. Brink-Danan,Spring 2007,4.04,3.76,,,56,56+,False
45,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26864,F 3-3:50p,TBD,0,1,0,0,0,0,ANTH,0800,Beeman,Spring 1998,3.56,3.36,,,69,83,False
46,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26865,Th 12-12:50p,TBD,0,1,0,0,0,0,ANTH,0800,M. Berman,Spring 2020,4.4,4.74,3.89,6.0,9,51,False
47,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26865,Th 12-12:50p,TBD,0,1,0,0,0,0,ANTH,0800,M. Brink-Danan,Spring 2007,4.04,3.76,,,56,56+,False
48,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26865,Th 12-12:50p,TBD,0,1,0,0,0,0,ANTH,0800,Beeman,Spring 1998,3.56,3.36,,,69,83,False
49,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26866,Th 1-1:50p,TBD,0,1,0,0,0,0,ANTH,0800,M. Berman,Spring 2020,4.4,4.74,3.89,6.0,9,51,False
50,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26866,Th 1-1:50p,TBD,0,1,0,0,0,0,ANTH,0800,M. Brink-Danan,Spring 2007,4.04,3.76,,,56,56+,False
51,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26866,Th 1-1:50p,TBD,0,1,0,0,0,0,ANTH,0800,Beeman,Spring 1998,3.56,3.36,,,69,83,False
52,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26867,Th 2-2:50p,TBD,0,1,0,0,0,0,ANTH,0800,M. Berman,Spring 2020,4.4,4.74,3.89,6.0,9,51,False
53,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26867,Th 2-2:50p,TBD,0,1,0,0,0,0,ANTH,0800,M. Brink-Danan,Spring 2007,4.04,3.76,,,56,56+,False
54,ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,26867,Th 2-2:50p,TBD,0,1,0,0,0,0,ANTH,0800,Beeman,Spring 1998,3.56,3.36,,,69,83,False
